Key,Type,Desc,Chinese,English
1,Sprite,,Img_4,Img_5
10001,Text,,测试,Test
10002,Text,,升级,null
10003,Text,,玩的名称七个字,null
10004,Text,,说话内容。。。。。。。。。。。。,null
10005,Text,,幸福的瞬间,null
10006,Text,,重生剩余时间:,null
10007,Text,,商人名称,null
10008,Text,,学习制造,null
10009,Text,,场景物,null
10010,Text,,商品摊位,null
10011,Text,,公共UI,null
10012,Text,,我是一个公共UI哦！,null
10013,Text,,第   天,null
10014,Text,,道具名称,null
10015,Text,,已领取,null
10016,Text,,1.完成活跃任务可获得积分\n2.充值1元可获得10点积分\n,null
10017,Text,,积分值,null
10018,Text,,积分奖励,null
10019,Text,,领取奖励,null
10020,Text,,前往充值,null
10021,Text,,免费签到,null
10022,Text,,付费签到,null
10023,Text,,已签到,null
10024,Text,,0天,null
10025,Text,,累计签到3天,null
10026,Text,,"提示：以上为单笔充值的对应额度奖励,累加不计入单笔哦！此奖励只可领取一次！",null
10027,Text,,奖励列表,null
10028,Text,,累计充值98元,null
10029,Text,,累计充值298元,null
10030,Text,,免费领取,null
10031,Text,,当前额度:999/298,null
10032,Text,,回馈次数:,null
10033,Text,,"回馈特权\n激活后,副本关卡将额外开启一个宝箱",null
10034,Text,,开启回馈,null
10035,Text,,每天20:30-21:00开启,null
10036,Text,,1. 战场会把人随机分配到对应阵营中,null
10037,Text,,2. 在战场胜利的一方将获得奖励,null
10038,Text,,3.在战场中完成战场任务获得积分奖励,null
10039,Text,,获胜奖励,null
10040,Text,,进入战场,null
10041,Text,,猎魔阵营,null
10042,Text,,曙光阵营,null
10043,Text,,购买,null
10044,Text,,当前拥有数量:,null
10045,Text,,总进度：10/25,null
10046,Text,,属性,null
10047,Text,,全部,null
10048,Text,,领主,null
10049,Text,,野怪,null
10050,Text,,奇遇,null
10051,Text,,提示：在野外击败怪物时有概率获取怪物的精灵，每次击败对应怪物都会增加进度值。当进度值满时，将100%激活,null
10052,Text,,大王寻路兵,null
10053,Text,,境界：大师界,null
10054,Text,,攻击 +99,null
10055,Text,,直接激活概率：0.01%,null
10056,Text,,获取方式：击败XX怪物,null
10057,Text,,进度,null
10058,Text,,激活,null
10059,Text,,使用,null
10060,Text,,收回,null
10061,Text,,未激活,null
10062,Text,,"提示：在野外有概率遇到奇遇精灵,抓捕后激活对应属性",null
10063,Text,,获取方式,null
10064,Text,,成就点数：,null
10065,Text,,成就列表,null
10066,Text,,成就奖励,null
10067,Text,,2060成就奖励,null
10068,Text,,累计成就点,null
10069,Text,,关卡成就,null
10070,Text,,第一章,null
10071,Text,,完成度,null
10072,Text,,选择章节,null
10073,Text,,第一章探宝,null
10074,Text,,第二章探宝,null
10075,Text,,第三章探宝,null
10076,Text,,第四章探宝,null
10077,Text,,第五章探宝,null
10078,Text,,1级可以激活此探宝选项,null
10079,Text,,18级可以激活此探宝选项,null
10080,Text,,30级可以激活此探宝选项,null
10081,Text,,40级可以激活此探宝选项,null
10082,Text,,50级可以激活此探宝选项,null
10083,Text,,锁定,null
10084,Text,,名字,null
10085,Text,,活动列表,null
10086,Text,,神器之王,null
10087,Text,,"准时出现在宝藏之地,必掉一个橙色装备!拥有掉落归属的玩家可以获得喔!",null
10088,Text,,每日12:00  和 22:30（开区第一周）,null
10089,Text,,进度值:  0/1,null
10090,Text,,立即前往,null
10091,Text,,巨龙来袭,null
10092,Text,,每日12:30准时出现在宝藏之地！,null
10093,Text,,每日12:30,null
10094,Text,,红包来袭,null
10095,Text,,每日19:30红包准时来袭！,null
10096,Text,,每日19:30,null
10097,Text,,角斗场,null
10098,Text,,在角斗场坚持时间越长获得奖励越丰厚!,null
10099,Text,,详情介绍,null
10100,Text,,每日19:40开启   19:50关闭入口,null
10101,Text,,世界领主,null
10102,Text,,世界领主准时携带巨量宝物来袭！,null
10103,Text,,每周一、三、五、七20:00开启,null
10104,Text,,小龟赛跑,null
10105,Text,,"活动开启前10分钟,小龟赛跑大使会准时出现在主城正下方喔！",null
10106,Text,,每周二、四、六20:00开启,null
10107,Text,,战场活动,null
10108,Text,,玩家多人随机对战，获胜方将获得丰厚奖励,null
10109,Text,,每日20:30-21：00,null
10110,Text,,宝藏活动,null
10111,Text,,拾取场景内的宝箱获得丰厚的奖励,null
10112,Text,,每周一、三、五、七 21:00开启,null
10113,Text,,变身大赛,null
10114,Text,,"变成各种各样的怪物,率先到达终点即可获得最后的胜利。",null
10115,Text,,每周二、四、六 21:00开启,null
10116,Text,,喜从天降,null
10117,Text,,全地图随机刷新道具，只要随机到指定位置即可获得奖励,null
10118,Text,,每周一、三、五、七 21:30开启,null
