----------------Prefab----------------------
undles\UI\Blood\UIBattleFly_UpLv.prefab   升级
undles\UI\Blood\UIJingLingHp.prefab   玩的名称七个字
undles\UI\Blood\UIJingLingHp.prefab   说话内容。。。。。。。。。。。。
undles\UI\Blood\UIMonsterHp.prefab   幸福的瞬间
undles\UI\Blood\UIMonsterHp.prefab   重生剩余时间:
undles\UI\Blood\UINpcHp.prefab   商人名称
undles\UI\Blood\UINpcHp.prefab   学习制造
undles\UI\Blood\UISceneItem.prefab   场景物
undles\UI\Blood\UIStallIem.prefab   商品摊位
undles\UI\Common\ESCommonUI.prefab   公共UI
undles\UI\Common\ESReuseUI.prefab   我是一个公共UI哦！
undles\UI\Common\ES_ActivityLogin.prefab   第   天
undles\UI\Common\ES_ActivityLogin.prefab   道具名称
undles\UI\Common\ES_ActivityLogin.prefab   已领取
undles\UI\Common\ES_ActivityMaoXian.prefab   1.完成活跃任务可获得积分\n2.充值1元可获得10点积分\n
undles\UI\Common\ES_ActivityMaoXian.prefab   积分值
undles\UI\Common\ES_ActivityMaoXian.prefab   积分奖励
undles\UI\Common\ES_ActivityMaoXian.prefab   领取奖励
undles\UI\Common\ES_ActivityMaoXian.prefab   前往充值
undles\UI\Common\ES_ActivitySingIn.prefab   免费签到
undles\UI\Common\ES_ActivitySingIn.prefab   付费签到
undles\UI\Common\ES_ActivitySingIn.prefab   已签到
undles\UI\Common\ES_ActivitySingIn.prefab   0天
undles\UI\Common\ES_ActivitySingIn.prefab   累计签到3天
undles\UI\Common\ES_ActivitySingleRecharge.prefab   提示：以上为单笔充值的对应额度奖励,累加不计入单笔哦！此奖励只可领取一次！
undles\UI\Common\ES_ActivitySingleRecharge.prefab   奖励列表
undles\UI\Common\ES_ActivityToken.prefab   累计充值98元
undles\UI\Common\ES_ActivityToken.prefab   累计充值298元
undles\UI\Common\ES_ActivityToken.prefab   免费领取
undles\UI\Common\ES_ActivityToken.prefab   当前额度:999/298
undles\UI\Common\ES_ActivityYueKa.prefab   回馈次数:
undles\UI\Common\ES_ActivityYueKa.prefab   回馈特权\n激活后,副本关卡将额外开启一个宝箱
undles\UI\Common\ES_ActivityYueKa.prefab   开启回馈
undles\UI\Common\ES_BattleEnter.prefab   每天20:30-21:00开启
undles\UI\Common\ES_BattleEnter.prefab   1. 战场会把人随机分配到对应阵营中
undles\UI\Common\ES_BattleEnter.prefab   2. 在战场胜利的一方将获得奖励
undles\UI\Common\ES_BattleEnter.prefab   3.在战场中完成战场任务获得积分奖励
undles\UI\Common\ES_BattleEnter.prefab   获胜奖励
undles\UI\Common\ES_BattleEnter.prefab   进入战场
undles\UI\Common\ES_BattleEnter.prefab   猎魔阵营
undles\UI\Common\ES_BattleEnter.prefab   曙光阵营
undles\UI\Common\ES_BattleShop.prefab   购买
undles\UI\Common\ES_BattleShop.prefab   当前拥有数量:
undles\UI\Common\ES_ChengJiuJingling.prefab   总进度：10/25
undles\UI\Common\ES_ChengJiuJingling.prefab   属性
undles\UI\Common\ES_ChengJiuJingling.prefab   全部
undles\UI\Common\ES_ChengJiuJingling.prefab   领主
undles\UI\Common\ES_ChengJiuJingling.prefab   野怪
undles\UI\Common\ES_ChengJiuJingling.prefab   奇遇
undles\UI\Common\ES_ChengJiuJingling.prefab   提示：在野外击败怪物时有概率获取怪物的精灵，每次击败对应怪物都会增加进度值。当进度值满时，将100%激活
undles\UI\Common\ES_ChengJiuJingling.prefab   大王寻路兵
undles\UI\Common\ES_ChengJiuJingling.prefab   境界：大师界
undles\UI\Common\ES_ChengJiuJingling.prefab   攻击 +99
undles\UI\Common\ES_ChengJiuJingling.prefab   直接激活概率：0.01%
undles\UI\Common\ES_ChengJiuJingling.prefab   获取方式：击败XX怪物
undles\UI\Common\ES_ChengJiuJingling.prefab   进度
undles\UI\Common\ES_ChengJiuJingling.prefab   激活
undles\UI\Common\ES_ChengJiuJingling.prefab   使用
undles\UI\Common\ES_ChengJiuJingling.prefab   收回
undles\UI\Common\ES_ChengJiuJingling.prefab   未激活
undles\UI\Common\ES_ChengJiuPetTuJian.prefab   提示：在野外有概率遇到奇遇精灵,抓捕后激活对应属性
undles\UI\Common\ES_ChengJiuPetTuJian.prefab   获取方式
undles\UI\Common\ES_ChengJiuReward.prefab   成就点数：
undles\UI\Common\ES_ChengJiuReward.prefab   成就列表
undles\UI\Common\ES_ChengJiuReward.prefab   成就奖励
undles\UI\Common\ES_ChengJiuReward.prefab   2060成就奖励
undles\UI\Common\ES_ChengJiuReward.prefab   累计成就点
undles\UI\Common\ES_ChengJiuShow.prefab   关卡成就
undles\UI\Common\ES_ChengJiuShow.prefab   第一章
undles\UI\Common\ES_ChengJiuShow.prefab   完成度
undles\UI\Common\ES_ChouKaChapterSelect.prefab   选择章节
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第一章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第二章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第三章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第四章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   第五章探宝
undles\UI\Common\ES_ChouKaChapterSelect.prefab   1级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   18级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   30级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   40级可以激活此探宝选项
undles\UI\Common\ES_ChouKaChapterSelect.prefab   50级可以激活此探宝选项
undles\UI\Common\ES_CommonItem.prefab   锁定
undles\UI\Common\ES_CostItem.prefab   名字
undles\UI\Common\ES_CountryHuoDong.prefab   活动列表
undles\UI\Common\ES_CountryHuoDong.prefab   神器之王
undles\UI\Common\ES_CountryHuoDong.prefab   准时出现在宝藏之地,必掉一个橙色装备!拥有掉落归属的玩家可以获得喔!
undles\UI\Common\ES_CountryHuoDong.prefab   每日12:00  和 22:30（开区第一周）
undles\UI\Common\ES_CountryHuoDong.prefab   进度值:  0/1
undles\UI\Common\ES_CountryHuoDong.prefab   立即前往
undles\UI\Common\ES_CountryHuoDong.prefab   巨龙来袭
undles\UI\Common\ES_CountryHuoDong.prefab   每日12:30准时出现在宝藏之地！
undles\UI\Common\ES_CountryHuoDong.prefab   每日12:30
undles\UI\Common\ES_CountryHuoDong.prefab   红包来袭
undles\UI\Common\ES_CountryHuoDong.prefab   每日19:30红包准时来袭！
undles\UI\Common\ES_CountryHuoDong.prefab   每日19:30
undles\UI\Common\ES_CountryHuoDong.prefab   角斗场
undles\UI\Common\ES_CountryHuoDong.prefab   在角斗场坚持时间越长获得奖励越丰厚!
undles\UI\Common\ES_CountryHuoDong.prefab   详情介绍
undles\UI\Common\ES_CountryHuoDong.prefab   每日19:40开启   19:50关闭入口
undles\UI\Common\ES_CountryHuoDong.prefab   世界领主
undles\UI\Common\ES_CountryHuoDong.prefab   世界领主准时携带巨量宝物来袭！
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七20:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   小龟赛跑
undles\UI\Common\ES_CountryHuoDong.prefab   活动开启前10分钟,小龟赛跑大使会准时出现在主城正下方喔！
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六20:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   战场活动
undles\UI\Common\ES_CountryHuoDong.prefab   玩家多人随机对战，获胜方将获得丰厚奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每日20:30-21：00
undles\UI\Common\ES_CountryHuoDong.prefab   宝藏活动
undles\UI\Common\ES_CountryHuoDong.prefab   拾取场景内的宝箱获得丰厚的奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七 21:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   变身大赛
undles\UI\Common\ES_CountryHuoDong.prefab   变成各种各样的怪物,率先到达终点即可获得最后的胜利。
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六 21:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   喜从天降
undles\UI\Common\ES_CountryHuoDong.prefab   全地图随机刷新道具，只要随机到指定位置即可获得奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七 21:30开启
undles\UI\Common\ES_CountryHuoDong.prefab   狩猎活动
undles\UI\Common\ES_CountryHuoDong.prefab   活动期间不消耗体力,击败怪物数量越多获得奖励越丰厚
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六 21:30开启
undles\UI\Common\ES_CountryHuoDong.prefab   竞技场
undles\UI\Common\ES_CountryHuoDong.prefab   玩家之间1对1的竞技挑战,展现自身真正硬实力
undles\UI\Common\ES_CountryHuoDong.prefab   每周一、三、五、七 22:00开启
undles\UI\Common\ES_CountryHuoDong.prefab   家族入侵
undles\UI\Common\ES_CountryHuoDong.prefab   进入家族地图,打败入侵者,获得丰厚奖励
undles\UI\Common\ES_CountryHuoDong.prefab   每周二、四、六 22:00开启
undles\UI\Common\ES_CountryTask.prefab   活跃度
