统计场景顶点数:  ba_bandit_rope_01_mat  数量:21  顶点：3549   总顶点数：74529

统计场景顶点数:  ban_bandit_wood01_mat  数量:21  顶点：1524   总顶点数：32004

统计场景顶点数:  yewai_shu_02 (21)  数量:5  顶点：286   总顶点数：1430

统计场景顶点数:  yewai_shu_02 (20)  数量:5  顶点：286   总顶点数：1430

统计场景顶点数:  yewai_shu_02 (19)  数量:5  顶点：286   总顶点数：1430

统计场景顶点数:  stsm_build_diaoxiang_001  数量:1  顶点：795   总顶点数：795

统计场景顶点数:  stsm_build_diaoxiang_001 (1)  数量:1  顶点：795   总顶点数：795

统计场景顶点数:  yewai_tengman_01 (3)  数量:1  顶点：550   总顶点数：550

统计场景顶点数:  yewai_tengman_01  数量:1  顶点：550   总顶点数：550

统计场景顶点数:  yewai_tengman_01 (1)  数量:1  顶点：550   总顶点数：550

统计场景顶点数:  yewai_tengman_01 (2)  数量:1  顶点：550   总顶点数：550

统计场景顶点数:  yewai_zhalan_01 (2)  数量:1  顶点：526   总顶点数：526

统计场景顶点数:  yewai_zhalan_01 (1)  数量:1  顶点：526   总顶点数：526

统计场景顶点数:  yewai_zhalan_01  数量:1  顶点：526   总顶点数：526

统计场景顶点数:  yewai_shu_01 (8)  数量:5  顶点：99   总顶点数：495

统计场景顶点数:  yewai_mogu_02  数量:1  顶点：458   总顶点数：458

统计场景顶点数:  yewai_mogu_02 (1)  数量:1  顶点：458   总顶点数：458

统计场景顶点数:  yewai_cao_01 (3)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (1)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (13)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (6)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (4)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (3)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (9)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (11)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (12)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (6)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (4)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (10)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (2)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (14)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (1)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (2)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (5)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (7)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_02 (5)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (7)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_cao_01 (8)  数量:1  顶点：430   总顶点数：430

统计场景顶点数:  yewai_shitou_04  数量:1  顶点：383   总顶点数：383

